order_id,customer_id,order_date,order_status,payment_method
164,236,2025-02-11,Returned,Cash on Delivery
165,513,2025-06-19,Pending,Net Banking
166,573,2024-12-29,Returned,Cash on Delivery
167,854,2025-02-28,Delivered,Cash on Delivery
168,685,2025-02-20,Pending,Net Banking
169,826,2025-02-12,Cancelled,Net Banking
170,363,2024-07-13,Returned,Net Banking
171,74,2025-03-17,Pending,Cash on Delivery
172,407,2025-01-03,Returned,UPI
173,883,2024-07-09,Pending,Cash on Delivery
174,760,2025-01-07,Delivered,UPI
175,44,2024-10-29,Delivered,Cash on Delivery
176,447,2024-11-10,Cancelled,UPI
177,20,2024-07-09,Pending,Net Banking
178,471,2024-10-04,Delivered,Cash on Delivery
179,944,2025-03-26,Cancelled,Cash on Delivery
180,80,2024-12-27,Pending,Credit Card
181,883,2025-05-27,Cancelled,UPI
182,321,2025-05-02,Delivered,Cash on Delivery
183,590,2024-11-23,Cancelled,Cash on Delivery
184,440,2025-04-15,Pending,Net Banking
185,588,2025-01-22,Returned,UPI
186,415,2025-04-21,Delivered,UPI
187,727,2024-08-04,Pending,Cash on Delivery
188,656,2024-12-08,Pending,UPI
189,428,2025-03-21,Cancelled,UPI
190,297,2025-02-10,Delivered,UPI
191,118,2025-02-22,Returned,UPI
192,415,2025-06-04,Returned,UPI
193,22,2024-11-10,Cancelled,Credit Card
194,990,2025-03-19,Delivered,Credit Card
195,333,2025-01-03,Returned,Cash on Delivery
196,176,2024-07-07,Delivered,UPI
197,821,2024-11-21,Cancelled,Net Banking
198,971,2024-07-12,Delivered,Cash on Delivery
199,633,2025-01-02,Delivered,Cash on Delivery
200,472,2025-04-17,Delivered,UPI
201,852,2025-06-13,Cancelled,UPI
202,707,2024-07-30,Cancelled,Credit Card
203,942,2024-12-28,Cancelled,Cash on Delivery
204,371,2024-10-02,Returned,Cash on Delivery
205,91,2025-01-24,Pending,UPI
206,448,2024-08-01,Delivered,Cash on Delivery
207,865,2024-07-29,Pending,Net Banking
208,109,2024-09-30,Delivered,UPI
209,250,2025-04-04,Delivered,Cash on Delivery
210,447,2025-05-15,Delivered,Credit Card
211,604,2025-03-31,Cancelled,Credit Card
212,411,2025-02-27,Returned,Net Banking
213,537,2025-06-20,Cancelled,Net Banking
214,81,2024-08-02,Delivered,UPI
215,406,2024-12-20,Pending,Net Banking
216,892,2024-11-21,Delivered,Cash on Delivery
217,318,2025-04-13,Delivered,UPI
218,764,2024-11-05,Returned,Credit Card
219,348,2024-09-28,Delivered,Cash on Delivery
220,227,2025-02-16,Cancelled,Cash on Delivery
221,342,2024-12-26,Returned,Net Banking
222,798,2024-07-10,Returned,Cash on Delivery
223,173,2024-10-30,Returned,UPI
224,79,2024-10-25,Delivered,Net Banking
225,523,2025-01-27,Returned,Cash on Delivery
226,649,2025-04-24,Returned,Credit Card
227,117,2025-03-27,Cancelled,Net Banking
228,544,2025-05-24,Pending,Credit Card
229,523,2024-12-19,Cancelled,UPI
230,199,2024-09-19,Cancelled,Credit Card
231,928,2025-02-20,Pending,Cash on Delivery
232,795,2024-12-03,Pending,Credit Card
233,358,2024-08-02,Returned,Net Banking
234,360,2024-06-30,Cancelled,UPI
235,745,2025-03-19,Delivered,Net Banking
236,982,2024-08-15,Cancelled,Cash on Delivery
237,839,2025-02-12,Pending,Credit Card
238,661,2025-05-28,Returned,Cash on Delivery
239,835,2025-03-16,Returned,Credit Card
240,152,2025-04-26,Returned,UPI
241,242,2024-07-07,Delivered,UPI
242,106,2025-06-25,Delivered,Cash on Delivery
243,150,2025-01-09,Pending,UPI
244,263,2024-12-16,Returned,Credit Card
245,203,2024-07-23,Cancelled,Credit Card
246,178,2025-01-07,Returned,Net Banking
247,617,2024-09-05,Cancelled,Credit Card
248,157,2024-12-23,Cancelled,Net Banking
249,779,2024-10-11,Delivered,UPI
250,778,2025-03-24,Returned,Net Banking
251,672,2025-02-01,Pending,Cash on Delivery
252,78,2024-11-24,Returned,Credit Card
253,182,2025-05-04,Returned,Cash on Delivery
254,975,2025-06-21,Pending,Net Banking
255,792,2025-01-21,Pending,UPI
256,644,2025-03-07,Returned,Net Banking
257,506,2025-04-04,Pending,Cash on Delivery
258,476,2024-07-15,Cancelled,Net Banking
259,773,2024-10-03,Delivered,Cash on Delivery
260,578,2025-02-09,Pending,Credit Card
261,779,2024-08-11,Cancelled,Cash on Delivery
262,594,2025-03-25,Delivered,Cash on Delivery
263,460,2025-01-13,Pending,Cash on Delivery
264,698,2025-01-03,Delivered,Cash on Delivery
265,947,2024-09-02,Returned,Net Banking
266,904,2025-06-12,Pending,Credit Card
267,579,2024-12-19,Cancelled,UPI
268,659,2024-10-18,Cancelled,Net Banking
269,651,2025-05-24,Delivered,Net Banking
270,640,2024-08-29,Cancelled,Net Banking
271,331,2024-07-12,Cancelled,Cash on Delivery
272,885,2024-10-17,Pending,UPI
273,995,2025-02-15,Delivered,Net Banking
274,643,2024-11-02,Cancelled,Net Banking
275,324,2024-12-09,Returned,UPI
276,155,2024-08-08,Pending,Credit Card
277,451,2025-03-20,Cancelled,UPI
278,70,2024-08-26,Cancelled,UPI
279,481,2025-05-18,Cancelled,Cash on Delivery
280,453,2024-07-26,Pending,Net Banking
281,647,2024-09-12,Pending,Cash on Delivery
282,311,2024-12-31,Delivered,Credit Card
283,816,2025-01-01,Pending,Net Banking
284,282,2024-10-01,Cancelled,Credit Card
285,606,2024-06-29,Cancelled,Credit Card
286,58,2024-11-24,Returned,Net Banking
287,361,2025-04-24,Pending,Cash on Delivery
288,520,2025-04-12,Cancelled,Net Banking
289,76,2025-05-06,Returned,UPI
290,318,2025-03-07,Delivered,Net Banking
291,473,2025-06-13,Delivered,UPI
292,463,2024-09-03,Delivered,UPI
293,39,2025-04-22,Cancelled,UPI
294,59,2024-11-20,Cancelled,Net Banking
295,378,2024-07-14,Delivered,Cash on Delivery
296,852,2024-10-22,Returned,Net Banking
297,294,2024-09-05,Delivered,Credit Card
298,79,2024-09-21,Pending,Cash on Delivery
299,661,2024-11-06,Cancelled,Cash on Delivery
300,885,2025-05-29,Cancelled,Net Banking
301,876,2025-03-19,Pending,Net Banking
302,93,2025-02-08,Cancelled,UPI
303,630,2025-05-21,Pending,Credit Card
304,609,2025-01-04,Delivered,Credit Card
305,520,2024-09-23,Delivered,UPI
306,394,2025-03-31,Cancelled,Cash on Delivery
307,474,2024-12-16,Cancelled,Cash on Delivery
308,595,2025-05-06,Delivered,Net Banking
309,568,2025-03-26,Pending,Credit Card
310,978,2025-06-16,Delivered,Cash on Delivery
311,811,2024-08-11,Pending,Net Banking
312,757,2024-08-05,Returned,UPI
313,918,2024-08-29,Delivered,Net Banking
314,43,2024-08-20,Pending,UPI
315,461,2024-08-17,Pending,Credit Card
316,931,2025-04-10,Pending,Credit Card
317,830,2025-02-17,Cancelled,Cash on Delivery
318,586,2025-01-31,Cancelled,Net Banking
319,668,2024-07-06,Returned,Credit Card
320,193,2024-12-14,Returned,Cash on Delivery
321,330,2025-01-05,Pending,Net Banking
322,620,2024-11-16,Cancelled,Net Banking
323,488,2025-05-01,Pending,Cash on Delivery
324,514,2025-03-25,Cancelled,Net Banking
325,155,2024-12-10,Cancelled,Credit Card
326,981,2024-07-04,Returned,Cash on Delivery
327,64,2025-03-29,Pending,Credit Card
328,462,2025-01-16,Pending,Cash on Delivery
329,106,2025-06-10,Cancelled,UPI
330,831,2025-03-23,Cancelled,Credit Card
331,921,2024-11-17,Delivered,UPI
332,858,2025-02-28,Returned,Cash on Delivery
333,352,2025-01-24,Delivered,Net Banking
334,732,2024-08-07,Cancelled,UPI
335,87,2024-12-06,Pending,Cash on Delivery
336,517,2024-12-27,Cancelled,UPI
337,662,2024-07-10,Delivered,Credit Card
338,177,2024-10-13,Returned,Cash on Delivery
339,41,2024-12-13,Cancelled,Cash on Delivery
340,254,2025-01-29,Pending,Net Banking
341,725,2025-03-26,Delivered,Cash on Delivery
342,449,2024-12-07,Cancelled,Credit Card
343,450,2024-07-22,Pending,Cash on Delivery
344,537,2024-07-22,Pending,Cash on Delivery
345,536,2024-07-30,Cancelled,Credit Card
346,625,2024-10-07,Delivered,UPI
347,163,2025-06-02,Pending,UPI
348,373,2025-03-12,Returned,Credit Card
349,382,2024-11-12,Delivered,UPI
350,940,2024-12-28,Pending,Cash on Delivery
351,290,2024-11-29,Cancelled,Cash on Delivery
352,397,2025-01-09,Cancelled,Cash on Delivery
353,419,2025-06-19,Delivered,Cash on Delivery
354,794,2024-09-29,Pending,Cash on Delivery
355,347,2025-06-14,Pending,Credit Card
356,696,2025-06-22,Delivered,Cash on Delivery
357,613,2025-06-02,Delivered,UPI
358,54,2024-08-19,Delivered,Credit Card
359,809,2024-08-12,Returned,UPI
360,647,2024-07-06,Returned,Cash on Delivery
361,663,2024-08-28,Returned,Cash on Delivery
362,343,2024-07-30,Cancelled,Net Banking
363,68,2025-02-03,Returned,Net Banking
364,338,2024-09-07,Returned,Cash on Delivery
365,97,2025-03-12,Returned,UPI
366,572,2024-09-11,Pending,Credit Card
367,695,2024-12-17,Returned,UPI
368,396,2025-03-10,Delivered,UPI
369,291,2025-01-25,Returned,UPI
370,259,2024-11-18,Cancelled,UPI
371,742,2025-01-29,Cancelled,Credit Card
372,873,2024-10-07,Returned,Net Banking
373,673,2024-12-29,Delivered,Net Banking
374,988,2024-07-22,Delivered,Credit Card
375,929,2025-04-29,Pending,Credit Card
376,618,2025-03-08,Delivered,UPI
377,895,2024-09-07,Pending,Credit Card
378,154,2025-02-08,Pending,Net Banking
379,342,2024-12-04,Delivered,Cash on Delivery
380,84,2024-08-10,Delivered,Cash on Delivery
381,597,2025-01-30,Pending,Cash on Delivery
382,680,2024-07-12,Cancelled,UPI
383,145,2024-09-25,Returned,Net Banking
384,939,2024-09-13,Cancelled,Cash on Delivery
385,359,2024-08-23,Delivered,UPI
386,318,2024-10-21,Delivered,Cash on Delivery
387,991,2024-08-17,Pending,Credit Card
388,672,2025-04-12,Returned,Credit Card
389,716,2025-03-26,Delivered,UPI
390,679,2024-11-25,Returned,UPI
391,402,2024-07-01,Cancelled,UPI
392,133,2024-11-18,Returned,UPI
393,610,2024-07-20,Cancelled,Cash on Delivery
394,726,2025-01-11,Delivered,UPI
395,961,2025-04-29,Delivered,UPI
396,87,2024-07-01,Pending,UPI
397,318,2024-08-09,Cancelled,Credit Card
398,573,2025-01-16,Cancelled,Net Banking
399,386,2025-03-12,Returned,Credit Card
400,659,2024-10-08,Pending,Credit Card
401,811,2025-02-09,Pending,Credit Card
402,337,2025-01-19,Pending,Net Banking
403,833,2024-06-30,Cancelled,Net Banking
404,131,2024-10-22,Delivered,Credit Card
405,687,2025-06-03,Delivered,UPI
406,720,2025-05-08,Returned,Credit Card
407,849,2024-08-19,Returned,Credit Card
408,970,2024-10-29,Cancelled,Credit Card
409,757,2025-06-19,Delivered,Net Banking
410,702,2024-09-29,Pending,Credit Card
411,935,2025-05-27,Delivered,Cash on Delivery
412,540,2024-12-30,Returned,Credit Card
413,96,2025-05-04,Delivered,Credit Card
414,662,2024-09-17,Pending,Cash on Delivery
415,687,2024-09-08,Returned,Credit Card
416,434,2025-03-11,Cancelled,Credit Card
417,521,2024-12-28,Delivered,Credit Card
418,371,2024-12-29,Delivered,UPI
419,19,2024-12-29,Cancelled,UPI
420,372,2024-09-18,Cancelled,UPI
421,317,2024-08-04,Pending,Cash on Delivery
422,185,2024-09-01,Delivered,Credit Card
423,974,2024-11-24,Returned,Credit Card
424,220,2025-01-27,Delivered,UPI
425,350,2025-02-27,Pending,Cash on Delivery
426,971,2025-02-25,Returned,Cash on Delivery
427,785,2025-01-23,Returned,Cash on Delivery
428,498,2025-05-26,Returned,UPI
429,197,2025-05-05,Pending,UPI
430,232,2024-07-24,Delivered,Credit Card
431,141,2024-08-22,Returned,Credit Card
432,159,2025-03-13,Cancelled,Credit Card
433,80,2024-08-15,Pending,UPI
434,303,2025-05-26,Returned,UPI
435,865,2025-01-11,Pending,Cash on Delivery
436,808,2024-08-22,Cancelled,UPI
437,104,2025-05-27,Returned,Credit Card
438,520,2025-04-18,Delivered,Credit Card
439,790,2024-07-23,Pending,UPI
440,553,2024-12-29,Returned,Net Banking
441,856,2025-01-12,Returned,Cash on Delivery
442,757,2024-07-25,Pending,UPI
443,905,2025-02-01,Cancelled,Net Banking
444,540,2024-08-29,Pending,Credit Card
445,39,2024-09-30,Delivered,UPI
446,678,2025-02-25,Cancelled,Cash on Delivery
447,345,2025-04-15,Delivered,Net Banking
448,898,2024-12-04,Delivered,Net Banking
449,785,2025-05-19,Pending,UPI
450,633,2025-02-24,Returned,UPI
451,135,2024-11-14,Cancelled,Net Banking
452,612,2025-06-26,Delivered,Credit Card
453,386,2024-09-22,Returned,Cash on Delivery
454,158,2025-05-14,Returned,Credit Card
455,167,2024-10-06,Returned,Net Banking
456,186,2024-12-01,Cancelled,Credit Card
457,852,2024-07-20,Returned,UPI
458,710,2025-04-15,Pending,Net Banking
459,790,2024-12-11,Delivered,Cash on Delivery
460,640,2024-07-13,Returned,Cash on Delivery
461,829,2025-05-31,Delivered,Credit Card
462,925,2024-10-29,Cancelled,Credit Card
463,170,2025-04-26,Delivered,Cash on Delivery
464,739,2024-11-27,Returned,Net Banking
465,449,2024-07-07,Cancelled,Credit Card
466,45,2024-09-09,Cancelled,Net Banking
467,421,2025-03-14,Cancelled,Cash on Delivery
468,374,2025-04-05,Cancelled,Net Banking
469,693,2025-06-23,Cancelled,Cash on Delivery
470,737,2024-11-19,Delivered,Net Banking
471,244,2024-11-25,Returned,UPI
472,993,2024-12-18,Delivered,Net Banking
473,455,2025-02-17,Returned,Cash on Delivery
474,626,2025-05-17,Cancelled,Net Banking
475,292,2025-05-29,Cancelled,UPI
476,771,2024-09-22,Pending,Credit Card
477,767,2025-04-13,Pending,Net Banking
478,803,2025-06-14,Delivered,Cash on Delivery
479,460,2024-08-15,Delivered,UPI
480,240,2024-12-30,Returned,Credit Card
481,547,2025-02-20,Returned,Net Banking
482,245,2025-04-29,Pending,Credit Card
483,317,2025-01-10,Pending,Net Banking
484,989,2025-06-07,Returned,Net Banking
485,829,2024-12-01,Delivered,Credit Card
486,804,2025-03-04,Returned,Credit Card
487,481,2025-05-31,Delivered,UPI
488,926,2025-04-16,Returned,Net Banking
489,856,2025-02-28,Cancelled,Net Banking
490,199,2024-08-27,Cancelled,Credit Card
491,377,2024-09-28,Delivered,UPI
492,695,2025-02-14,Delivered,Credit Card
493,970,2025-01-15,Delivered,Cash on Delivery
494,585,2024-10-16,Pending,UPI
495,452,2025-01-06,Pending,Cash on Delivery
496,473,2025-04-23,Returned,UPI
497,788,2024-07-26,Pending,Net Banking
498,289,2024-12-12,Returned,Credit Card
499,797,2025-02-14,Returned,UPI
500,392,2024-07-09,Returned,Net Banking
501,515,2024-12-06,Delivered,Net Banking
502,541,2024-07-22,Cancelled,Cash on Delivery
503,429,2025-01-31,Pending,Cash on Delivery
504,990,2024-07-29,Returned,Net Banking
505,166,2025-03-27,Cancelled,Cash on Delivery
506,837,2025-06-08,Returned,Net Banking
507,205,2025-04-24,Delivered,Net Banking
508,821,2024-08-22,Returned,Net Banking
509,620,2025-04-23,Pending,Cash on Delivery
510,142,2025-03-03,Cancelled,UPI
511,894,2024-07-12,Delivered,Net Banking
512,257,2024-11-17,Returned,Credit Card
513,54,2024-10-12,Pending,Credit Card
514,657,2024-11-26,Pending,Cash on Delivery
515,493,2024-10-14,Delivered,Net Banking
516,896,2024-12-24,Pending,Net Banking
517,381,2025-03-06,Pending,UPI
518,568,2025-05-06,Pending,UPI
519,957,2025-06-18,Pending,Credit Card
520,106,2024-11-06,Returned,Credit Card
521,729,2024-10-22,Delivered,Credit Card
522,867,2025-05-17,Cancelled,Credit Card
523,529,2025-01-20,Cancelled,Net Banking
524,872,2025-02-17,Pending,Credit Card
525,128,2024-11-01,Returned,UPI
526,292,2025-06-19,Pending,Net Banking
527,86,2024-10-24,Pending,Cash on Delivery
528,782,2025-05-25,Returned,UPI
529,165,2024-12-26,Delivered,Cash on Delivery
530,280,2025-01-11,Cancelled,Credit Card
531,461,2025-01-02,Returned,Credit Card
532,928,2024-11-23,Cancelled,Net Banking
533,526,2025-04-17,Returned,Net Banking
534,151,2025-05-31,Returned,UPI
535,851,2025-05-19,Pending,Cash on Delivery
536,448,2025-03-21,Delivered,Net Banking
537,94,2025-02-10,Cancelled,Net Banking
538,970,2025-03-24,Delivered,Cash on Delivery
539,933,2025-01-30,Pending,Cash on Delivery
540,228,2025-06-20,Returned,Credit Card
541,837,2025-03-18,Cancelled,Credit Card
542,462,2025-02-17,Delivered,Net Banking
543,906,2025-02-14,Cancelled,Credit Card
544,358,2025-03-10,Cancelled,Net Banking
545,953,2025-04-28,Cancelled,Net Banking
546,28,2025-02-04,Delivered,Cash on Delivery
547,425,2024-08-19,Cancelled,Net Banking
548,55,2024-12-26,Delivered,Net Banking
549,406,2024-11-04,Returned,Net Banking
550,515,2024-08-01,Delivered,Credit Card
551,383,2025-03-22,Pending,Credit Card
552,242,2025-01-03,Cancelled,UPI
553,396,2024-11-06,Pending,Cash on Delivery
554,84,2025-01-19,Pending,UPI
555,384,2025-01-13,Returned,Net Banking
556,230,2025-02-21,Returned,Net Banking
557,29,2025-02-27,Delivered,UPI
558,327,2024-07-21,Delivered,Cash on Delivery
559,954,2024-10-02,Cancelled,Net Banking
560,102,2025-02-26,Pending,Net Banking
561,860,2024-10-09,Returned,Credit Card
562,732,2025-06-24,Returned,Net Banking
563,666,2024-10-10,Cancelled,Net Banking
564,344,2025-06-01,Returned,Net Banking
565,811,2024-10-17,Pending,UPI
566,150,2025-02-12,Pending,Credit Card
567,141,2025-01-12,Cancelled,Net Banking
568,40,2024-09-23,Pending,Cash on Delivery
569,294,2024-10-26,Delivered,Net Banking
570,940,2025-06-21,Pending,Net Banking
571,850,2025-06-13,Delivered,Cash on Delivery
572,484,2024-10-30,Returned,Cash on Delivery
573,713,2025-06-14,Delivered,Cash on Delivery
574,852,2024-09-27,Cancelled,Credit Card
575,143,2025-02-01,Cancelled,Credit Card
576,778,2024-09-09,Cancelled,Credit Card
577,723,2024-11-09,Cancelled,UPI
578,481,2024-10-23,Cancelled,Cash on Delivery
579,460,2024-09-09,Pending,Cash on Delivery
580,631,2025-05-13,Returned,Credit Card
581,6,2024-11-04,Delivered,Cash on Delivery
582,928,2025-01-14,Delivered,Net Banking
583,82,2025-03-16,Returned,Credit Card
584,20,2024-12-03,Cancelled,Net Banking
585,263,2024-10-13,Cancelled,Cash on Delivery
586,221,2024-10-07,Delivered,Cash on Delivery
587,856,2025-02-14,Cancelled,Net Banking
588,154,2024-12-08,Pending,Cash on Delivery
589,562,2025-03-14,Pending,Credit Card
590,963,2025-03-09,Pending,UPI
591,745,2024-09-08,Returned,UPI
592,624,2025-04-21,Returned,UPI
593,541,2025-02-20,Pending,Cash on Delivery
594,434,2025-06-07,Returned,Credit Card
595,114,2025-04-28,Pending,Credit Card
596,795,2024-08-20,Cancelled,Cash on Delivery
597,296,2025-05-04,Returned,Credit Card
598,244,2025-04-22,Pending,Cash on Delivery
599,309,2025-03-21,Returned,UPI
600,125,2024-10-19,Delivered,Credit Card
601,49,2024-09-08,Delivered,Cash on Delivery
602,245,2025-03-20,Pending,Credit Card
603,430,2025-03-20,Pending,Net Banking
604,655,2024-11-14,Pending,Net Banking
605,813,2025-03-30,Delivered,Net Banking
606,638,2025-01-23,Returned,Cash on Delivery
607,469,2025-01-27,Delivered,Credit Card
608,65,2024-10-29,Pending,Net Banking
609,114,2024-09-14,Pending,Credit Card
610,857,2025-05-02,Pending,Cash on Delivery
611,927,2024-12-23,Pending,Net Banking
612,512,2025-02-07,Pending,Net Banking
613,612,2025-01-14,Pending,Cash on Delivery
614,549,2024-09-02,Cancelled,Credit Card
615,17,2024-08-11,Cancelled,Net Banking
616,648,2025-04-04,Cancelled,Credit Card
617,528,2025-04-03,Delivered,UPI
618,589,2025-06-02,Returned,Cash on Delivery
619,248,2024-10-18,Pending,Net Banking
620,736,2025-03-02,Cancelled,Cash on Delivery
621,148,2024-09-30,Delivered,UPI
622,299,2024-09-14,Returned,Cash on Delivery
623,440,2025-02-14,Pending,Cash on Delivery
624,2,2025-04-29,Pending,Net Banking
625,630,2025-02-28,Returned,UPI
626,362,2025-05-15,Returned,Net Banking
627,247,2024-11-05,Returned,Credit Card
628,585,2024-09-06,Delivered,UPI
629,427,2025-06-06,Cancelled,Cash on Delivery
630,192,2025-03-05,Pending,Cash on Delivery
631,681,2025-05-07,Cancelled,Credit Card
632,685,2025-01-05,Returned,Cash on Delivery
